Currency,Rate_vs_EUR
AED,4.30241
AFN,80.38468
ALL,97.220794
AMD,449.691735
ANG,2.09677
AOA,1074.28612
ARS,1658.889569
AUD,1.772026
AWG,2.10874
AZN,2.011205
BAM,1.958822
BBD,2.371088
BDT,143.270997
BGN,1.956899
BHD,0.441725
BIF,3512.878624
BMD,1.171522
BND,1.507651
BOB,8.134513
BRL,6.365465
BSD,1.177236
BTC,1.0505182e-05
BTN,103.710532
BWP,15.702355
BYN,3.982643
BYR,22961.83287
BZD,2.367682
CAD,1.621908
CDF,3363.44001
CHF,0.932983
CLF,0.028883
CLP,1133.061058
CNY,8.34299
CNH,8.342262
COP,4596.466901
CRC,594.427058
CUC,1.171522
CUP,31.045335
CVE,110.434876
CZK,24.34177
DJF,209.63605
DKK,7.465688
DOP,74.816683
DZD,152.096352
EGP,56.197795
ERN,17.572831
ETB,168.554875
EUR,1.0
FJD,2.661463
FKP,0.864947
GBP,0.865257
GEL,3.150996
GGP,0.864947
GHS,14.362092
GIP,0.864947
GMD,84.931947
GNF,10207.920092
GTQ,9.021878
GYD,246.178683
HKD,9.124224
HNL,30.836091
HRK,7.535108
HTG,154.040238
HUF,393.143478
IDR,19279.738956
ILS,3.917394
IMP,0.864947
INR,103.289646
IQD,1542.185419
IRR,49291.791622
ISK,143.405861
JEP,0.864947
JMD,188.373784
JOD,0.830594
JPY,172.576338
KES,152.098685
KGS,102.449705
KHR,4719.319884
KMF,492.620875
KPW,1054.390608
KRW,1624.314795
KWD,0.357841
KYD,0.981017
KZT,631.68708
LAK,25537.173377
LBP,105419.711019
LKR,355.455259
LRD,234.260349
LSL,20.563243
LTL,3.4592
LVL,0.708642
LYD,6.352881
MAD,10.587787
MDL,19.512098
MGA,5208.122496
MKD,61.635336
MMK,2459.606114
MNT,4214.295544
MOP,9.441905
MRU,46.771945
MUR,53.995415
MVR,18.053406
MWK,2041.383706
MXN,21.807309
MYR,4.936208
MZN,74.894741
NAD,20.563507
NGN,1774.258786
NIO,43.317557
NOK,11.661378
NPR,165.940798
NZD,1.969751
OMR,0.450464
PAB,1.177211
PEN,4.132274
PGK,4.990741
PHP,66.861692
PKR,334.1615
PLN,4.252116
PYG,8432.11459
QAR,4.2909
RON,5.071988
RSD,117.17799
RUB,98.058456
RWF,1705.86043
SAR,4.395452
SBD,9.634391
SCR,17.44711
SDG,704.085173
SEK,10.973507
SGD,1.502413
SHP,0.920632
SLE,27.384355
SLL,24566.229988
SOS,672.749208
SRD,45.957053
STD,24248.14187
STN,24.53806
SVC,10.300933
SYP,15232.290681
SZL,20.555883
THB,37.207459
TJS,11.07754
TMT,4.112043
TND,3.424167
TOP,2.74382
TRY,48.359144
TTD,7.988254
TWD,35.448262
TZS,2912.511664
UAH,48.48071
UGX,4123.342701
USD,1.171522
UYU,47.042363
UZS,14643.650484
VES,181.221344
VND,30889.522821
VUV,140.769321
WST,3.261533
XAF,656.981617
XAG,0.028525
XAU,0.000322
XCD,3.166097
XCG,2.121682
XDR,0.817074
XOF,656.978809
XPF,119.331742
YER,280.699598
ZAR,20.503915
ZMK,10545.10621
ZMW,28.223897
ZWL,377.229633
